inst_nm,inst_code,appl_code,kind_code,tx_code,upmu_nm
한네트,043,R430,0200,404001,[404001]3행이체MS시간외
한네트,043,R430,0200,404100,[404100]3행이체IC
한네트,043,R430,0200,510000,[510000]현금입금MS
한네트,043,R430,0200,510100,[510100]현금입금IC
한네트,043,R430,0400,011000,[011000]현금지급MS시간내
한네트,043,R430,0400,011011,[011011]현금지급MS시간외
한네트,043,R430,0400,011100,[011100]현금지급IC
한네트,043,R430,0800,000160,[000160]단말정보등록
한네트,043,R430,0800,000301,[000301]회선시험
한네트,043,S430,0800,000001,[000001]업무개시
한네트,043,S430,0800,000002,[000002]업무종료예고
한네트,043,S430,0800,000040,[000040]업무종료
한네트,043,S430,0800,000301,[000301]회선시험
한네트,043,S430,0800,000888,[000888]장애해제
한네트,043,S430,0800,000999,[000999]장애통보
한네트,043,S430,0810,000001,[000001]업무개시
한네트,043,S430,0810,000002,[000002]업무종료예고
한네트,043,S430,0810,000040,[000040]업무종료
한네트,043,S430,0810,000301,[000301]회선시험
한네트,043,S430,0810,000888,[000888]장애해제
한네트,043,S430,0810,000999,[000999]장애통보
효성티엔에스,046,R460,0200,011000,[011000]현금지급MS시간내
효성티엔에스,046,R460,0200,011011,[011011]현금지급MS시간외
효성티엔에스,046,R460,0200,011100,[011100]현금지급IC
효성티엔에스,046,R460,0200,310020,[310020]동행이체수취조회MS시간내
효성티엔에스,046,R460,0200,310021,[310021]동행이체수취조회MS시간외
효성티엔에스,046,R460,0200,310026,[310026]입금이체수취조회MS시간내
효성티엔에스,046,R460,0200,310027,[310027]입금이체수취조회MS시간외
효성티엔에스,046,R460,0200,310028,[310028]출금이체수취조회MS시간내
효성티엔에스,046,R460,0200,310029,[310029]출금이체수취조회MS시간외
효성티엔에스,046,R460,0200,310040,[310040]3행이체수취조회MS시간내
효성티엔에스,046,R460,0200,310041,[310041]3행이체수취조회MS시간외
효성티엔에스,046,R460,0200,310120,[310120]동행이체수취조회IC
효성티엔에스,046,R460,0200,310126,[310126]입금이체수취조회IC
효성티엔에스,046,R460,0200,310128,[310128]출금이체수취조회IC
효성티엔에스,046,R460,0200,310140,[310140]3행이체수취조회IC
효성티엔에스,046,R460,0200,311000,[311000]잔액조회MS
효성티엔에스,046,R460,0200,311050,[311050]현금입금수취조회MS
효성티엔에스,046,R460,0200,311100,[311100]잔액조회IC
효성티엔에스,046,R460,0200,311150,[311150]현금입금수취조회IC
효성티엔에스,046,R460,0200,316020,[316020]현급지급수수료조회MS
효성티엔에스,046,R460,0200,316120,[316120]현급지급수수료조회IC
효성티엔에스,046,R460,0200,400000,[400000]동행이체MS시간내
효성티엔에스,046,R460,0200,400001,[400001]동행이체MS시간외
효성티엔에스,046,R460,0200,400020,[400020]입금이체MS시간내
효성티엔에스,046,R460,0200,400021,[400021]입금이체MS시간외
효성티엔에스,046,R460,0200,400100,[400100]동행이체IC
효성티엔에스,046,R460,0200,400120,[400120]입금이체IC
효성티엔에스,046,R460,0200,402000,[402000]출금이체MS시간내
효성티엔에스,046,R460,0200,402001,[402001]출금이체MS시간외
효성티엔에스,046,R460,0200,402100,[402100]출금이체IC
효성티엔에스,046,R460,0200,404000,[404000]3행이체MS시간내
효성티엔에스,046,R460,0200,404001,[404001]3행이체MS시간외
효성티엔에스,046,R460,0200,404100,[404100]3행이체IC
효성티엔에스,046,R460,0200,510000,[510000]현금입금MS
효성티엔에스,046,R460,0200,510100,[510100]현금입금IC
효성티엔에스,046,R460,0400,011000,[011000]현금지급MS시간내
효성티엔에스,046,R460,0400,011011,[011011]현금지급MS시간외
효성티엔에스,046,R460,0400,011100,[011100]현금지급IC
효성티엔에스,046,R460,0800,000160,[000160]단말정보등록
효성티엔에스,046,R460,0800,000301,[000301]회선시험
효성티엔에스,046,S460,0800,000001,[000001]업무개시
효성티엔에스,046,S460,0800,000002,[000002]업무종료예고
효성티엔에스,046,S460,0800,000040,[000040]업무종료
효성티엔에스,046,S460,0800,000301,[000301]회선시험
효성티엔에스,046,S460,0800,000888,[000888]장애해제
효성티엔에스,046,S460,0800,000999,[000999]장애통보
효성티엔에스,046,S460,0810,000001,[000001]업무개시
효성티엔에스,046,S460,0810,000002,[000002]업무종료예고
효성티엔에스,046,S460,0810,000040,[000040]업무종료
효성티엔에스,046,S460,0810,000301,[000301]회선시험
효성티엔에스,046,S460,0810,000888,[000888]장애해제
효성티엔에스,046,S460,0810,000999,[000999]장애통보
ATM플러스,047,R470,0200,011000,[011000]현금지급MS시간내
ATM플러스,047,R470,0200,011011,[011011]현금지급MS시간외
ATM플러스,047,R470,0200,011100,[011100]현금지급IC
ATM플러스,047,R470,0200,310020,[310020]동행이체수취조회MS시간내
ATM플러스,047,R470,0200,310021,[310021]동행이체수취조회MS시간외
ATM플러스,047,R470,0200,310026,[310026]입금이체수취조회MS시간내
ATM플러스,047,R470,0200,310027,[310027]입금이체수취조회MS시간외
ATM플러스,047,R470,0200,310028,[310028]출금이체수취조회MS시간내
ATM플러스,047,R470,0200,310029,[310029]출금이체수취조회MS시간외
ATM플러스,047,R470,0200,310040,[310040]3행이체수취조회MS시간내
ATM플러스,047,R470,0200,310041,[310041]3행이체수취조회MS시간외
ATM플러스,047,R470,0200,310120,[310120]동행이체수취조회IC
ATM플러스,047,R470,0200,310126,[310126]입금이체수취조회IC
ATM플러스,047,R470,0200,310128,[310128]출금이체수취조회IC
ATM플러스,047,R470,0200,310140,[310140]3행이체수취조회IC
ATM플러스,047,R470,0200,311000,[311000]잔액조회MS
ATM플러스,047,R470,0200,311100,[311100]잔액조회IC
ATM플러스,047,R470,0200,316020,[316020]현급지급수수료조회MS
ATM플러스,047,R470,0200,316120,[316120]현급지급수수료조회IC
ATM플러스,047,R470,0200,400000,[400000]동행이체MS시간내
ATM플러스,047,R470,0200,400001,[400001]동행이체MS시간외
ATM플러스,047,R470,0200,400020,[400020]입금이체MS시간내
ATM플러스,047,R470,0200,400021,[400021]입금이체MS시간외
ATM플러스,047,R470,0200,400100,[400100]동행이체IC
ATM플러스,047,R470,0200,400120,[400120]입금이체IC
ATM플러스,047,R470,0200,402000,[402000]출금이체MS시간내
ATM플러스,047,R470,0200,402001,[402001]출금이체MS시간외
ATM플러스,047,R470,0200,402100,[402100]출금이체IC
ATM플러스,047,R470,0200,404000,[404000]3행이체MS시간내
ATM플러스,047,R470,0200,404001,[404001]3행이체MS시간외
ATM플러스,047,R470,0200,404100,[404100]3행이체IC
ATM플러스,047,R470,0400,011000,[011000]현금지급MS시간내
ATM플러스,047,R470,0400,011011,[011011]현금지급MS시간외
ATM플러스,047,R470,0400,011100,[011100]현금지급IC
ATM플러스,047,R470,0800,000160,[000160]단말정보등록
ATM플러스,047,R470,0800,000301,[000301]회선시험
